CO_MUP;VA_NO_VOIE;geo_point_2d;COM_INSEE;LB_VOIE;Geo Shape;COMMUNE
A0Q2M8;0;48.6703390187, -1.85560152054;35049;PLACE DU CALVAIRE;"{""type"": ""Point"", ""coordinates"": [-1.8556015205367, 48.67033901867533]}";CANCALE
A2I0Q2;19;48.7036559621, -1.85108448016;35049;AVENUE DE LA COTE D EMERAUDE;"{""type"": ""Point"", ""coordinates"": [-1.851084480160297, 48.70365596207113]}";CANCALE
A2I0Q0;145;48.6996752728, -1.85298912863;35049;RUE DE LA VIEILLE RIVIERE;"{""type"": ""Point"", ""coordinates"": [-1.852989128629586, 48.699675272815924]}";CANCALE
A0Q2M7;1;48.6761186291, -1.85377195945;35049;AVENUE DU GENERAL DE GAULLE;"{""type"": ""Point"", ""coordinates"": [-1.853771959449001, 48.67611862908554]}";CANCALE
A0Q3Z2;19;48.5030159024, -1.90081468339;35179;RUE DU RELAIS DE POSTE;"{""type"": ""Point"", ""coordinates"": [-1.900814683390894, 48.50301590243591]}";MINIAC-MORVAN
A0Q3Z7;0;48.5346246556, -1.87607635472;35179;LA VILLE AUBRY;"{""type"": ""Point"", ""coordinates"": [-1.876076354717572, 48.53462465562039]}";MINIAC-MORVAN
A0Q5T2;20;48.687538847, -1.93747370173;35263;RUE DE LA GUIMORAIS;"{""type"": ""Point"", ""coordinates"": [-1.937473701728896, 48.68753884696441]}";SAINT-COULOMB
A0Q5J5;1;48.6824308086, -1.96799096907;35288;RUE DU GOELAND;"{""type"": ""Point"", ""coordinates"": [-1.967990969073122, 48.68243080859477]}";SAINT-MALO
A0Q5L3;8;48.6288720866, -1.9943831809;35288;PLACE DU MANOIR;"{""type"": ""Point"", ""coordinates"": [-1.994383180897689, 48.62887208661307]}";SAINT-MALO
A4B3Y5;1;48.6651387049, -1.97084432593;35288;RUE ENCLOS DU VERGER;"{""type"": ""Point"", ""coordinates"": [-1.970844325934248, 48.66513870486462]}";SAINT-MALO
A0Q5I5;15;48.6322270936, -1.9999640036;35288;BOULEVARD LEONCE DEMALVILAIN;"{""type"": ""Point"", ""coordinates"": [-1.999964003601052, 48.63222709361886]}";SAINT-MALO
